Measure Time,Commanded trajectory,Real trajectory,Curve
34,"(-30.0, -14.0)","(3754, 3936)","[17 11 19 20 18 18 18 17 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 17 10 22 21 21 21 18 20 12 17 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 18 12 21 21 20 21 18 19 17 17 16 16 17 16 19 18 19 19
 17 18 22 18 31 27 32 32 30 31 26 28 22 24 16 20 15 15 13 14 11 12 10 11
  9  9  9  9  9  9  9  9]"
35,"(-48.31, -12.9)","(3546, 3949)","[17  7 19 20 18 18 18 17 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
 14  9 16 15 12 16 13 12 18 15 30 23 39 35 42 41 41 42 39 40 36 37 35 36
 36 35 37 37 36 36 35 35 32 34 28 30 22 26 20 21 17 18 16 17 15 15 13 14
 11 12 10 11  9  9  9  9]"
36,"(-69.6, -12.7873)","(3304, 3950)","[17 11 19 20 18 18 18 17 20 19 22 22 21 22 17 19 16 17 16 16 14 15 13 13
 12 12 11 11 10 10 11 11 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 11 11 10 11
  9  9  9  9 12 11 13 12 14 15 13 14 19 16 22 21 20 22 18 19 18 18 20 19
 25 20 34 30 37 36 36 37 32 35 26 30 22 24 16 20 14 15 12 13 11 12 10 10
  9  9  9  9  9  9  9  9]"
37,"(90.0, 12.0)","(1024, 136)","[31 33 30 31 22 25 24 23 24 26 25 23 27 26 27 27 27 28 27 27 26 26 24 25
 23 24 21 22 19 20 16 17 14 15 13 14 12 13 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 17 16 18 18 17 18 17 17 16 16 16 16 18 18 21 19 22 22 26 24
 28 29 28 28 32 29 42 37 49 47 52 51 57 54 58 57 65 59 74 70 76 75 73 75
 68 71 62 65 57 59 53 55 49 51 46 48 41 41 38 40 35 37 31 33 27 29 23 25
 20 22 18 19 16 17 14 15]"
38,"(76.7, 10.7894)","(872, 122)","[31 33 29 31 22 26 24 23 24 27 26 24 27 27 26 26 28 28 26 27 26 26 23 24
 22 23 18 20 16 17 14 15 11 13 10 11 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10 14  9 18 16 21 20 23 21
 26 26 26 26 29 27 37 32 45 43 49 47 54 51 56 55 62 57 70 66 72 71 70 71
 66 68 60 63 56 58 52 54 48 50 44 46 38 38 36 37 32 34 28 30 24 26 21 23
 19 20 17 18 15 16 14 14]"
39,"(61.12, 10.2782)","(695, 116)","[28 29 27 28 21 24 24 22 24 26 23 23 24 24 23 22 25 25 24 24 23 23 21 22
 19 20 16 18 15 16 12 13 10 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 14 11 16 15
 17 17 21 18 26 24 29 26 39 35 44 42 48 46 51 50 57 52 64 61 66 65 64 65
 62 64 58 61 54 56 49 51 45 47 41 43 35 39 32 33 28 30 25 27 22 24 19 21
 17 18 15 16 12 13 10 11]"
40,"(45.21, 10.5686)","(514, 120)","[29 30 28 29 21 25 24 22 24 26 25 23 26 26 26 25 27 28 26 27 25 26 23 24
 21 22 18 20 17 17 14 16 12 13 10 11 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10  9 10  9  9 10  9 16 11 21 18
 23 23 25 24 29 27 31 28 40 37 44 43 49 47 51 50 57 52 65 62 66 66 64 66
 61 63 56 59 52 54 48 50 44 46 40 42 35 35 32 34 29 31 25 27 21 23 18 20
 15 16 13 14 12 13 11 12]"
41,"(30.0, 12.0)","(341, 136)","[22 18 25 26 21 23 22 21 23 24 23 23 24 24 24 24 23 23 23 23 22 22 21 22
 20 20 18 19 16 17 12 14 11 11 10 10 12 11 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 14 10 15 14 17 16 17 17 19 18
 21 19 28 24 33 30 35 34 39 37 42 41 45 44 50 48 56 53 61 59 61 61 57 60
 51 54 46 48 41 43 37 39 31 34 29 30 26 27 23 24 19 21 17 18 15 16 13 14
 12 12 11 11 10 11 10 10]"
42,"(16.7, 10.7894)","(190, 122)","[27 24 29 29 23 26 25 23 24 26 26 24 28 27 27 27 28 28 27 27 26 27 24 25
 23 24 21 22 19 20 17 18 15 16 13 14 12 13 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 10 10 10 10 11 10 11 11 11 11
 11 11 11 11 17 16 20 19 19 20 19 19 28 23 42 35 51 49 53 52 53 54 49 52
 44 46 37 41 34 35 30 32 25 27 23 24 22 22 20 21 18 19 16 17 15 16 14 14
 13 13 13 12 13 13 12 13]"
43,"(1.12, 10.2783)","(12, 116)","[30 30 30 31 25 28 26 25 25 27 28 25 30 29 29 28 30 30 28 29 27 28 26 26
 24 25 22 23 21 21 19 20 17 18 15 16 12 14 12 12 12 12 11 11 10 10 10 10
 11 10 11 11 11 11 12 12 12 12 11 11 10 10 10 10 10 10 10 10 17 16 17 17
 16 17 18 17 19 19 20 18 26 24 27 27 32 29 37 34 41 41 42 41 45 44 42 44
 38 40 33 35 29 31 23 28 23 23 21 22 19 20 18 18 16 17 15 16 14 14 13 13
 12 12 11 11 10 10 10 10]"
